"Marca temporal","¿Cuál es tu género?","¿Qué edad tienes?","¿Con qué edad empezaste a jugar?","¿En qué plataforma comenzaste a jugar videojuegos?","¿En qué plataforma juegas actualmente?","Cuando juegas, ¿sueles jugar solo o con mas personas?","¿De cuantas horas diarias dispones para jugar? ","¿Cuánto dinero sueles invertir al mes en videojuegos?","¿Qué género prefieres?","¿Qué aspectos de un videojuego valoras mas?","¿Crees que tu tiempo condiciona el genero que juegas? Ejemplo: juego mobas por que no dispongo de tiempo para jugar un MMO","¿La presencia de hackers en tu juego favorito puede provocar que lo dejes de jugar?"
"2024/01/11 7:02:57 p. m. CET","hombre","mas de 30 años","entre 6 y 8 años","SEGA","PC","Con amigos","entre 2 y 4","menos de 10 euros","survival;shooter","Jugabilidad;capacidad de coop/multiplayer;Personalización","Tal vez","Si"
"2024/01/11 7:05:29 p. m. CET","mujer","entre 18 y 30 años","entre 8 y 12 años","SEGA","PC","Con amigos","entre 4 y 8","entre 10 y 30 euros","shooter;mmo","Jugabilidad;Historia;capacidad de coop/multiplayer","Tal vez","Si"
"2024/01/11 7:07:21 p. m. CET","hombre","entre 18 y 30 años","entre 6 y 8 años","PLAY STATION","PC","Con amigos","entre 2 y 4","entre 10 y 30 euros","survival;shooter","Jugabilidad;capacidad de coop/multiplayer;Modo competitivo (rangos)","Si","tal vez"
"2024/01/11 7:12:23 p. m. CET","hombre","mas de 30 años","entre 8 y 12 años","SEGA","PC","Solo","entre 2 y 4","entre 10 y 30 euros","mmo;moba","Jugabilidad;Historia;Modo competitivo (rangos)","Si","Si"
"2024/01/11 7:19:10 p. m. CET","hombre","entre 18 y 30 años","entre 8 y 12 años","PLAY STATION","PC","Con amigos","entre 0 y 2","menos de 10 euros","survival","Gráficos;Jugabilidad;capacidad de coop/multiplayer","Tal vez","Si"
"2024/01/11 7:19:34 p. m. CET","hombre","entre 18 y 30 años","entre 6 y 8 años","PLAY STATION","PC","Con amigos","entre 0 y 2","menos de 10 euros","shooter","Jugabilidad;capacidad de coop/multiplayer;Modo competitivo (rangos)","No","Si"
"2024/01/11 7:35:12 p. m. CET","hombre","entre 18 y 30 años","antes de los 6 años","PLAY STATION","SMARTPHONE;CONSOLA;PC","Con amigos","mas de 8","menos de 10 euros","shooter;single player","Jugabilidad;Historia;Banda sonora","No","tal vez"
"2024/01/11 7:38:46 p. m. CET","hombre","mas de 30 años","entre 6 y 8 años","SEGA","PC","Con amigos","entre 4 y 8","entre 10 y 30 euros","shooter;mmo","Jugabilidad;capacidad de coop/multiplayer;Modo competitivo (rangos)","Si","Si"
"2024/01/11 7:44:28 p. m. CET","hombre","mas de 30 años","entre 6 y 8 años","SEGA","PC","Con amigos","entre 2 y 4","entre 10 y 30 euros","survival;mmo","Jugabilidad;Historia;Modo competitivo (rangos)","Si","tal vez"
"2024/01/11 7:48:07 p. m. CET","hombre","entre 18 y 30 años","antes de los 6 años","PLAY STATION","CONSOLA;PC;PORTATIL (NINTENDO SWTICH, STEAMDECK, ETC)","Con amigos","entre 0 y 2","entre 10 y 30 euros","single player","Jugabilidad;Historia;Banda sonora","Si","no"
"2024/01/11 8:04:16 p. m. CET","hombre","entre 18 y 30 años","entre 6 y 8 años","XBOX","SMARTPHONE","Con amigos","entre 2 y 4","menos de 10 euros","survival;shooter","Jugabilidad;capacidad de coop/multiplayer;Modo competitivo (rangos)","Tal vez","Si"
"2024/01/11 8:08:34 p. m. CET","hombre","mas de 30 años","entre 6 y 8 años","SEGA","PC","Con amigos","entre 2 y 4","menos de 10 euros","mmo","Gráficos;Jugabilidad;Historia","Si","no"
"2024/01/11 8:15:47 p. m. CET","hombre","mas de 30 años","entre 8 y 12 años","SEGA","PORTATIL (NINTENDO SWTICH, STEAMDECK, ETC)","Solo","entre 0 y 2","menos de 10 euros","single player","Gráficos;Jugabilidad;Historia","Si","tal vez"
"2024/01/11 8:31:29 p. m. CET","hombre","mas de 30 años","entre 8 y 12 años","GAME BOY","PC","Con amigos","entre 2 y 4","entre 10 y 30 euros","shooter","Jugabilidad;capacidad de coop/multiplayer;Modo competitivo (rangos)","Si","Si"
"2024/01/12 4:37:59 p. m. CET","hombre","entre 18 y 30 años","entre 6 y 8 años","PC","CONSOLA;PC","Con amigos","entre 4 y 8","menos de 10 euros","survival;shooter","Gráficos;capacidad de coop/multiplayer;Modo competitivo (rangos)","No","tal vez"
"2024/01/12 5:08:12 p. m. CET","hombre","entre 18 y 30 años","entre 6 y 8 años","NINTENDO","SMARTPHONE;CONSOLA;PC","Con amigos","entre 4 y 8","menos de 10 euros","survival;moba","Jugabilidad;Historia;Modo competitivo (rangos)","Si","Si"